"","two_folds","five_folds","ten_folds"
"1",121543.759592724,114137.186230669,120210.078141189
"2",130640.760654544,120152.225518474,116787.063402562
"3",116475.783207934,124649.499836321,122370.779448459
"4",138391.309901995,123386.360089165,119673.653235602
"5",144301.576111674,121162.897894212,118547.126156267
"6",122162.400280933,120732.461438646,118653.894597279
"7",114984.227985229,117758.759898646,117504.896746544
"8",132435.599812565,121437.620347998,117207.663451701
"9",125770.574663044,118301.176749984,118026.981270134
"10",121263.643026257,119874.987912037,120778.863082074
"11",125537.28940589,126097.973879343,122946.877761375
"12",124537.855429125,126282.027931425,118357.127961031
"13",116278.1949587,128022.148916762,119006.748579331
"14",130253.378685105,119354.875355242,120299.978471908
"15",120405.612356709,121663.043343108,124006.943056217
"16",120003.001300359,118103.732524692,119788.658433432
"17",131739.160911302,122032.409756487,118332.233611394
"18",128199.728863131,116982.032856604,119044.159468916
"19",112382.462958923,124510.617760264,119232.891668029
"20",133352.322949245,120849.166598625,120171.6859487
"21",124424.920049323,122731.258810071,120295.169527673
"22",131967.377525801,121333.263292124,120011.867848219
"23",129516.511174023,118162.551866811,119463.60894964
"24",124082.109406039,115052.080442441,118109.861593159
"25",123187.16212614,119967.768983557,120751.047711817
"26",127352.153978779,119373.729315926,116179.286594579
"27",125934.587189697,114543.852450084,115485.416539615
"28",122880.377072296,123304.34612414,120074.468552802
"29",132305.121905387,121919.638740163,119121.232497322
"30",125999.433216787,123317.590503329,122980.433449331
